Designation (and name),Prov. Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2016 FE60,36.166,48.977,8.7,20160313,1.1,302.6,239.1,9.6,0.150,42.572,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FD60,36.604,49.176,8.1,20160313,281.5,74.5,201.6,16.6,0.147,42.890,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FC60,34.532,51.653,8.8,20160313,351.4,246.2,308.4,7.7,0.199,43.092,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FB60,37.725,48.476,8.6,20160313,1.2,249.8,291.9,10.0,0.125,43.100,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FA60,35.872,50.151,9.1,20160313,347.7,252.3,311.8,23.9,0.166,43.012,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FZ59,36.997,49.893,8.7,20160313,15.0,227.5,297.4,20.5,0.148,43.445,( 2d),MPO 382818,2016/03/30 W84 DECam
,2016 FY59,38.353,49.705,7.9,20160313,18.0,316.7,209.0,31.0,0.129,44.029,( 3d),MPO 382818,2016/03/29 W84 DECam
,2016 FX59,39.930,44.994,8.0,20160313,55.7,274.1,211.1,29.6,0.060,42.462,( 2d),MPO 382818,2016/03/29 W84 DECam
,2016 FW59,40.859,46.450,5.8,20170216,232.9,28.2,290.2,6.3,0.064,43.655,3,MPO 384587,2016/03/29 W84 DECam
,2016 FV59,40.525,43.586,8.1,20160313,4.4,325.8,212.2,9.9,0.036,42.055,( 3d),MPO 382817,2016/03/29 W84 DECam
,2016 FU59,33.936,50.851,6.9,20160313,219.6,130.6,206.1,24.3,0.199,42.394,( 3d),MPO 382817,2016/03/29 W84 DECam
,2016 FT59,40.606,46.229,7.6,20160313,121.0,109.5,304.0,17.1,0.065,43.417,( 2d),MPO 382817,2016/03/29 W84 DECam
,2016 FS59,32.046,51.381,9.6,20160313,359.9,309.5,231.4,24.9,0.232,41.713,( 3d),MPO 377944,2016/03/29 W84 DECam
,2016 FR59,35.297,37.669,6.5,20170216,95.2,136.9,300.8,10.2,0.033,36.483,4,MPO 384587,2016/03/29 W84 DECam
,2016 FQ59,41.072,41.714,7.6,20160313,179.0,38.9,332.2,17.9,0.008,41.393,( 4d),MPO 377944,2016/03/28 W84 DECam
,2016 FP59,39.407,54.324,5.5,20170216,85.0,171.6,270.0,4.2,0.159,46.866,8,MPO 384586,2016/03/28 W84 DECam
,2016 FO59,35.607,43.924,7.8,20160313,70.2,261.0,198.8,23.2,0.105,39.766,( 4d),MPO 382817,2016/03/28 W84 DECam
,2016 FM59,32.059,46.402,9.3,20160313,0.7,342.7,200.8,27.9,0.183,39.230,( 3d),MPO 382817,2016/03/28 W84 DECam
,2016 FK59,26.012,57.700,10.0,20160313,359.9,197.2,347.9,27.6,0.379,41.856,( 4d),MPO 377944,2016/03/28 W84 DECam
,2016 FJ59,36.954,40.833,8.2,20160313,260.6,298.9,349.1,22.9,0.050,38.893,( 3d),MPO 382817,2016/03/28 W84 DECam
,2016 FH59,39.210,45.321,7.6,20160313,39.3,197.8,302.7,15.5,0.072,42.265,( 3d),MPO 382817,2016/03/28 W84 DECam
,2016 FG59,35.869,46.488,7.1,20160313,181.2,38.8,329.6,28.4,0.129,41.179,( 4d),MPO 377944,2016/03/28 W84 DECam
