Designation (and name),Prov. Des.,q,Q,EMoid,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,"Discovery date, site and discoverer(s)"
,2016 YK4,0.661,1.079,0.00521,26.1,20170216,190.0,43.8,264.7,10.1,0.240,0.870,( 8d),MPEC 2017-A02,2016/12/23 F51 Pan-STARRS 1
,2016 YA1,0.826,1.137,0.03155,23.7,20170216,315.6,292.6,271.1,16.6,0.158,0.982,( 11d),MPEC 2017-A02,2016/12/19 G96 Mt. Lemmon Survey
,2016 YH,0.359,1.005,0.00772,25.5,20170216,283.3,0.3,266.2,2.2,0.474,0.682,( 6d),MPEC 2016-Y58,2016/12/18 G96 Mt. Lemmon Survey
,2016 XK24,0.154,1.006,0.13373,20.4,20161128,130.0,257.8,12.7,8.4,0.735,0.580,( 0d),MPC xxxxx,2016/12/11 C51 WISE
,2016 XE18,0.771,1.056,0.06166,25.3,20170216,282.1,344.0,252.6,13.1,0.156,0.913,( 14d),MPEC 2016-Y21,2016/12/06 G96 Mt. Lemmon Survey
,2016 XD2,0.629,1.064,0.04358,23.9,20170216,300.5,161.5,78.1,8.3,0.257,0.846,( 17d),MPEC 2016-Y68,2016/12/04 G96 Mt. Lemmon Survey
,2016 WN55,0.558,1.092,0.08058,20.2,20161108,215.3,246.8,337.0,10.5,0.323,0.825,( 2d),MPC xxxxx,2016/11/18 C51 WISE
,2016 WP8,0.829,1.082,0.07601,23.9,20170216,234.8,204.2,60.2,13.3,0.132,0.956,( 29d),MPEC 2016-Y42,2016/11/25 G96 Mt. Lemmon Survey
,2016 WU7,0.468,1.207,0.01192,25.2,20170216,199.4,41.6,243.6,19.8,0.442,0.838,( 11d),MPEC 2016-X54,2016/11/25 G96 Mt. Lemmon Survey
,2016 WS7,0.805,1.028,0.04122,24.8,20170216,277.4,355.5,241.3,11.2,0.122,0.917,( 11d),MPEC 2016-X54,2016/11/25 G96 Mt. Lemmon Survey
,2016 WN7,0.721,1.042,0.00954,27.9,20170216,233.4,35.6,239.9,8.3,0.182,0.881,( 7d),MPEC 2016-X17,2016/11/24 G96 Mt. Lemmon Survey
,2016 WG7,0.745,1.163,0.00361,26.0,20170216,353.6,113.7,67.3,4.5,0.219,0.954,( 11d),MPEC 2016-X96,2016/11/25 G96 Mt. Lemmon Survey
,2016 WF7,0.666,1.081,0.00329,28.8,20170216,217.2,208.7,76.2,0.6,0.238,0.873,( 7d),MPEC 2016-X41,2016/11/24 G96 Mt. Lemmon Survey
,2016 WY,0.700,0.993,0.00425,29.4,20170216,290.0,2.2,236.4,1.9,0.173,0.847,( 10d),MPEC 2016-W117,2016/11/19 G96 Mt. Lemmon Survey
,2016 WR,0.653,1.164,0.00887,26.5,20170216,211.2,220.2,60.3,1.8,0.282,0.908,( 3d),MPEC 2016-W48,2016/11/18 G96 Mt. Lemmon Survey
,2016 VE18,0.318,1.589,0.24733,19.0,20170216,185.5,199.3,123.7,38.3,0.667,0.953,( 3d),MPEC 2016-X41,2016/11/10 F51 Pan-STARRS 1
,2016 VU2,0.446,1.528,0.25119,21.8,20170216,196.5,18.5,235.4,26.8,0.548,0.987,( 16d),MPEC 2016-W57,2016/11/06 G96 Mt. Lemmon Survey
,2016 VS1,0.735,1.129,0.02084,25.7,20170216,348.6,314.1,230.5,4.4,0.211,0.932,( 18d),MPEC 2016-W65,2016/11/05 G96 Mt. Lemmon Survey
,2016 VO1,0.561,1.405,0.00769,23.0,20170216,199.2,132.1,129.6,1.6,0.430,0.983,( 16d),MPEC 2016-W57,2016/11/05 691 Spacewatch
,2016 VB1,0.514,0.995,0.00189,28.6,20170216,345.7,176.9,40.4,1.2,0.319,0.755,( 3d),MPO 389561,2016/11/05 G96 Mt. Lemmon Survey
,2016 VG,0.590,1.211,0.00365,26.7,20170216,27.6,306.6,223.5,9.5,0.344,0.900,( 5d),MPO 389559,2016/11/02 G96 Mt. Lemmon Survey
,2016 VA,0.431,1.418,0.00115,27.3,20170216,49.9,308.8,219.7,29.7,0.534,0.924,( 1d),MPO 389559,2016/11/01 G96 Mt. Lemmon Survey
,2016 UX80,0.710,1.174,0.05231,24.4,20170216,224.7,229.6,36.6,25.6,0.246,0.942,( 5d),MPO 389556,2016/10/31 G96 Mt. Lemmon Survey
,2016 UF57,0.654,1.206,0.08551,23.9,20170216,229.4,222.7,34.5,44.0,0.297,0.930,( 8d),MPO 389555,2016/10/30 G96 Mt. Lemmon Survey
,2016 UQ41,0.799,1.094,0.04275,25.3,20170216,239.2,44.1,214.7,16.9,0.156,0.947,( 11d),MPO 389552,2016/10/27 G96 Mt. Lemmon Survey
,2016 UY35,0.763,1.097,0.07530,24.7,20170216,265.3,25.9,215.2,17.5,0.179,0.930,( 14d),MPEC 2016-W48,2016/10/25 F51 Pan-STARRS 1
,2016 UC31,0.835,1.075,0.04439,24.6,20170216,343.4,319.2,217.4,14.0,0.126,0.955,( 26d),MPEC 2016-X41,2016/10/23 G96 Mt. Lemmon Survey
,2016 UA6,0.777,1.127,0.04318,25.8,20170216,12.8,311.7,207.0,12.2,0.184,0.952,( 8d),MPO 389545,2016/10/21 G96 Mt. Lemmon Survey
,2016 UR5,0.496,1.386,0.00776,26.7,20170216,53.4,126.5,29.1,11.7,0.473,0.941,( 1d),MPO 389544,2016/10/21 G96 Mt. Lemmon Survey
,2016 UO5,0.719,1.078,0.06975,25.8,20170216,314.3,1.5,208.6,6.7,0.200,0.898,( 16d),MPO 389544,2016/10/20 G96 Mt. Lemmon Survey
,2016 US4,0.513,1.096,0.00943,24.4,20170216,42.8,327.9,206.1,15.0,0.362,0.805,( 3d),MPO 389542,2016/10/19 703 Catalina Sky Survey
,2016 UA,0.364,1.144,0.11480,20.8,20170216,355.8,282.8,291.8,9.9,0.517,0.754,( 63d),MPEC 2016-Y13,2016/10/16 F51 Pan-STARRS 1
,2016 TH94,0.509,1.142,0.02695,24.6,20160929,217.0,145.4,30.6,24.2,0.384,0.826,( 1d),MPO 392531,2016/10/09 F51 Pan-STARRS 1
,2016 TA57,0.412,1.386,0.01676,20.8,20170216,57.5,129.2,33.6,30.0,0.541,0.899,( 19d),MPO 389535,2016/10/12 F51 Pan-STARRS 1
,2016 TR54,0.536,1.413,0.01907,21.8,20170216,281.6,109.0,101.7,7.6,0.450,0.975,( 40d),MPO 389529,2016/10/09 F51 Pan-STARRS 1
,2016 TQ54,0.670,1.215,0.00064,27.2,20170216,233.4,243.5,7.8,1.4,0.289,0.943,( 4d),MPO 389529,2016/10/09 F51 Pan-STARRS 1
,2016 TZ19,0.396,1.497,0.01844,23.1,20170216,54.2,297.6,226.5,5.3,0.581,0.947,( 23d),MPEC 2016-W48,2016/10/08 F51 Pan-STARRS 1
,2016 TU19,0.523,1.099,0.01493,24.4,20170216,343.5,25.4,177.3,6.3,0.355,0.811,( 29d),MPO 389520,2016/10/08 F51 Pan-STARRS 1
,2016 TL10,0.759,1.066,0.02402,27.3,20170216,289.1,31.4,191.2,6.8,0.169,0.912,( 2d),MPO 389508,2016/10/04 G96 Mt. Lemmon Survey
,2016 TH10,0.370,1.161,0.00695,24.9,20170216,75.2,164.3,7.7,1.4,0.516,0.765,( 15d),MPEC 2016-W48,2016/10/04 G96 Mt. Lemmon Survey
,2016 SL3,0.801,1.178,0.07285,25.0,20170216,248.0,42.1,195.1,9.7,0.190,0.989,( 14d),MPO 389442,2016/09/25 G96 Mt. Lemmon Survey
,2016 SU2,0.520,1.274,0.00181,27.6,20170216,250.5,50.0,183.0,4.8,0.420,0.897,( 7d),MPEC 2016-Y68,2016/09/26 G96 Mt. Lemmon Survey
,2016 SX1,0.750,1.008,0.00573,28.6,20170216,355.6,178.5,1.2,2.6,0.147,0.879,( 6d),MPO 389437,2016/09/25 703 Catalina Sky Survey
,2016 RA34,0.652,1.231,0.02138,24.5,20170216,268.8,220.0,358.4,3.6,0.308,0.942,( 27d),MPO 389415,2016/09/11 G96 Mt. Lemmon Survey
,2016 RT20,0.523,1.133,0.02714,24.4,20170216,82.3,326.9,172.3,34.1,0.369,0.828,( 2d),MPO 389392,2016/09/10 G96 Mt. Lemmon Survey
,2016 RJ20,0.442,1.408,0.00814,23.6,20170216,262.8,55.6,153.3,5.2,0.522,0.925,( 24d),MPO 389390,2016/09/08 F51 Pan-STARRS 1
,2016 RL17,0.573,1.142,0.00163,26.5,20170216,89.5,318.3,166.4,3.2,0.332,0.858,( 3d),MPO 389382,2016/09/05 G96 Mt. Lemmon Survey
,2016 RG17,0.349,1.273,0.04438,23.0,20170216,315.0,29.1,170.1,22.0,0.569,0.811,( 32d),MPO 389381,2016/09/04 G96 Mt. Lemmon Survey
,2016 RT1,0.853,1.067,0.03648,21.9,20170216,37.5,145.3,343.8,30.5,0.112,0.960,( 21d),MPO 389351,2016/09/04 G96 Mt. Lemmon Survey
,2016 RB1,0.628,1.118,0.00017,28.3,20170216,85.1,135.5,345.7,1.8,0.281,0.873,( 2d),MPO 389349,2016/09/05 G96 Mt. Lemmon Survey
,2016 RZ,0.732,1.067,0.02426,26.7,20170216,331.6,357.3,191.7,2.0,0.186,0.900,( 26d),MPO 389349,2016/09/03 G96 Mt. Lemmon Survey
,2016 RT,0.880,1.069,0.05602,24.4,20170216,11.7,162.1,342.7,37.6,0.097,0.974,( 3d),MPO 389348,2016/09/02 G96 Mt. Lemmon Survey
,2016 QA2,0.717,1.174,0.00127,25.1,20170216,91.1,119.5,334.9,14.8,0.242,0.946,( 3d),MPO 389233,2016/08/27 Y00
,2016 PC2,0.432,1.170,0.04866,22.9,20170216,48.2,22.5,130.3,15.2,0.461,0.801,( 33d),MPO 392485,2016/08/02 F51 Pan-STARRS 1
,2016 PN,0.574,1.144,0.07114,20.4,20170216,19.5,23.7,126.1,21.6,0.332,0.859,(114d),MPEC 2016-W57,2016/08/02 T05
,2016 NF23,0.418,1.093,0.01235,22.9,20170216,107.6,343.2,150.3,4.4,0.447,0.755,( 28d),MPO 384673,2016/07/09 G96 Mt. Lemmon Survey
,2016 NJ22,0.773,1.127,0.00135,28.4,20170216,340.8,237.5,285.8,8.9,0.186,0.950,( 2d),MPO 384670,2016/07/09 G96 Mt. Lemmon Survey
,2016 NV15,0.511,1.326,0.10150,19.8,20170216,163.8,148.2,256.7,20.4,0.444,0.918,( 52d),MPO 384661,2016/07/05 703 Catalina Sky Survey
,2016 NC1,0.811,1.055,0.01876,25.3,20170216,98.1,332.8,106.7,7.2,0.131,0.933,( 4d),MPO 384642,2016/07/05 G96 Mt. Lemmon Survey
,2016 NB1,0.430,1.094,0.04724,23.9,20170216,129.9,0.7,113.0,6.7,0.435,0.762,( 5d),MPO 384642,2016/07/05 G96 Mt. Lemmon Survey
,2016 NR,0.587,1.179,0.03760,23.9,20170216,27.6,247.2,249.6,6.5,0.335,0.883,( 26d),MPO 384639,2016/07/03 G96 Mt. Lemmon Survey
